2946 | -4806
2946 | -4736
3016 | -4736
3016 | -4666
3016 | -4596
2946 | -4596
2946 | -4526
2876 | -4526
2806 | -4526
2736 | -4526
2736 | -4456
2736 | -4386
2806 | -4386
2876 | -4386
2946 | -4386
2946 | -4316
2946 | -4246
2946 | -4176
2946 | -4106
2946 | -4036
2946 | -3966
2946 | -3896
2946 | -3826
2946 | -3756
2946 | -3686
2946 | -3616
2946 | -3546
3016 | -3546
3016 | -3476
3086 | -3476
3086 | -3406
3156 | -3406
3156 | -3336
3086 | -3336
3086 | -3266
3016 | -3266
2946 | -3266
2946 | -3196
2946 | -3126
3016 | -3126
3016 | -3056
2946 | -3056
2876 | -3056
2876 | -2986
2876 | -2916
2946 | -2916
2946 | -2846
2876 | -2846
2876 | -2776
2806 | -2776
2736 | -2776
2666 | -2776
2666 | -2706
2596 | -2706
2596 | -2636
2526 | -2636
2456 | -2636
2386 | -2636
2316 | -2636
2246 | -2636
2176 | -2636
2106 | -2636
2036 | -2636
1966 | -2636
1896 | -2636
1826 | -2636
1756 | -2636
1686 | -2636
1686 | -2566
1686 | -2496
1616 | -2496
1546 | -2496
1476 | -2496
1406 | -2496
1336 | -2496
1336 | -2566
1266 | -2566
1266 | -2636
1266 | -2706
1266 | -2776
1266 | -2846
1266 | -2916
1196 | -2916
1126 | -2916
1056 | -2916
1056 | -2986
1056 | -3056
1056 | -3126
1056 | -3196
1056 | -3266
1056 | -3336
1056 | -3406
1056 | -3476
1056 | -3546
1056 | -3616
